OID	LEFT_FID	RIGHT_FID	ORIG_FID	Puntos_x_m	Puntos_y_m	Punto_X_Km	Punto_Y_Km
-1	-1	0	0	704111,8381	9544651,13	704,1118381	9544,65113
-1	-1	0	0	704130,2183	9544603,078	704,1302183	9544,603078
-1	-1	0	0	704184,03	9544500,629	704,18403	9544,500629
-1	-1	0	0	704213,97	9544443,571	704,21397	9544,443571
-1	-1	0	0	704275,1931	9544327,013	704,2751931	9544,327013
-1	-1	0	0	704337,2336	9544189,921	704,3372336	9544,189921
-1	-1	0	0	704350,9175	9544063,142	704,3509175	9544,063142
-1	-1	0	0	704352,03	9544008,629	704,35203	9544,008629
-1	-1	0	0	704355,0161	9543837,925	704,3550161	9543,837925
-1	-1	0	0	704358,0762	9543772,286	704,3580762	9543,772286
-1	-1	0	0	704385,4131	9543640,432	704,3854131	9543,640432
-1	-1	0	0	704519,9707	9543437,188	704,5199707	9543,437188
-1	-1	0	0	704516,9824	9543383,712	704,5169824	9543,383712
-1	-1	0	0	704412,0293	9543381,571	704,4120293	9543,381571
-1	-1	0	0	704259,0879	9543378,574	704,2590879	9543,378574
-1	-1	0	0	704210,4668	9543375,6	704,2104668	9543,3756
-1	-1	0	0	704169,4585	9543367,201	704,1694585	9543,367201
-1	-1	0	0	704060,0874	9543360,629	704,0600874	9543,360629
-1	-1	0	0	703989,0059	9543363,697	703,9890059	9543,363697
-1	-1	0	0	703858,6538	9543375,978	703,8586538	9543,375978
-1	-1	0	0	703780,9065	9543405,714	703,7809065	9543,405714
-1	-1	0	0	703744,6699	9543446,147	703,7446699	9543,446147
-1	-1	0	0	703702,0027	9543459,058	703,7020027	9543,459058
-1	-1	0	0	703593,4688	9543461,273	703,5934688	9543,461273
-1	-1	0	0	703466,6609	9543450,005	703,4666609	9543,450005
-1	-1	0	0	703346,261	9543472,154	703,346261	9543,472154
-1	-1	0	0	703277,4316	9543454,133	703,2774316	9543,454133
-1	-1	0	0	703188,4102	9543397,042	703,1884102	9543,397042
-1	-1	0	0	703157,4976	9543392,727	703,1574976	9543,392727
-1	-1	0	0	703127,4148	9543380,862	703,1274148	9543,380862
-1	-1	0	0	703106,6697	9543360,931	703,1066697	9543,360931
